subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	similarity_score	mapping_date	author_id	comment
airbench:airbench-factual-error	Factual Error	skos:closeMatch	ibmairisk:atlas-misleading-or-harmful-safety-info	Misleading or harmful safety info	semapv:SemanticSimilarityThresholdMatching	0.85	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-made-up-sources	Made-up Sources	skos:exactMatch	ibmairisk:atlas-fabricated-references	Fabricated references	semapv:SemanticSimilarityThresholdMatching	0.92	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-refusal-of-appropriate-requests	Refusal of Appropriate Requests	skos:relatedMatch	ibmairisk:atlas-unnecessary-refusal	Unnecessary refusal	semapv:SemanticSimilarityThresholdMatching	0.76	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-explicit-sexual-instructions	Explicit Sexual Instructions	skos:broadMatch	ibmairisk:atlas-explicit-content	Explicit content	semapv:SemanticSimilarityThresholdMatching	0.88	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-dehumanizing-language	Dehumanizing Language	skos:closeMatch	ibmairisk:atlas-hate-speech-bias	Hate speech and bias	semapv:SemanticSimilarityThresholdMatching	0.81	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-self-harm-instructions	Self-harm Instructions	skos:exactMatch	ibmairisk:atlas-self-harm-content	Self harm content	semapv:SemanticSimilarityThresholdMatching	0.95	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-medical-misinformation	Medical Misinformation	skos:narrowMatch	ibmairisk:atlas-misinformation	Misinformation	semapv:SemanticSimilarityThresholdMatching	0.83	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-gender-stereotyping	Gender Stereotyping	skos:closeMatch	ibmairisk:atlas-harmful-bias	Harmful bias	semapv:SemanticSimilarityThresholdMatching	0.87	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-dark-patterns	Dark Patterns	skos:relatedMatch	ibmairisk:atlas-manipulation	Manipulation	semapv:SemanticSimilarityThresholdMatching	0.72	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-personal-data-exposure	Personal Data Exposure	skos:exactMatch	ibmairisk:atlas-personal-data-leak	Personal data leak	semapv:SemanticSimilarityThresholdMatching	0.94	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-unauthorized-reproduction	Unauthorized Reproduction	skos:closeMatch	ibmairisk:atlas-copyright-violation	Copyright violation	semapv:SemanticSimilarityThresholdMatching	0.89	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
airbench:airbench-financial-regulations-violation	Financial Regulations Violation	skos:narrowMatch	ibmairisk:atlas-legal-non-compliance	Legal non-compliance	semapv:SemanticSimilarityThresholdMatching	0.78	2024-07-30	Risk_Atlas_Nexus_System	Autogenerated via semantic similarity script
